index,s_m,x_m,y_m,yaw_rad,curvature
0,0.000000,-5.000000,0.000000,0.197396,0.000000
1,1.000000,-4.000000,0.200000,0.197396,0.000000
2,2.000000,-3.000000,0.400000,0.119429,-0.030000
3,3.000000,-2.000000,0.560000,0.059928,-0.040000
4,4.000000,-1.000000,0.680000,0.029991,-0.030000
5,5.000000,0.000000,0.720000,0.000000,0.000000
6,6.000000,1.000000,0.680000,-0.029991,-0.030000
7,7.000000,2.000000,0.560000,-0.059928,-0.040000
8,8.000000,3.000000,0.400000,-0.119429,-0.030000
9,9.000000,4.000000,0.200000,-0.197396,0.000000
10,10.000000,5.000000,0.000000,-0.197396,0.000000
